volume,code,title,line,page,phase,status,stated_error
Vol1-Part2,GI,BCT Rho Meson Decay Width: KSFR with N_c Colour,8877,701,40B,,-0.09239%
Vol1-Part2,GJ2,BCT Gauge Coupling Unification: α_GUT and the 3/8,8931,703,45D,,
Vol1-Part2,GJ,BCT Proton Mass: Three-Mode Pythagorean,9009,705,40C,,-0.01170%
Vol1-Part2,GK2,,9083,707,45,,
Vol1-Part2,GK,The BCT Master Equations: Complete Prediction,9187,710,40D,,
Vol1-Part2,GL2,BCT PMNS CP Violation: δ_CP = −π/2 (Maximal),9275,713,46A,,
Vol1-Part2,GL,,9358,716,40,,-0.07108%
Vol1-Part2,GM2,BCT Reactor Mixing Angle: sin²θ₁₃ = N_c · α₀,9444,719,46B,,+0.10886%
Vol1-Part2,GM,BCT Chiral Condensate: f_π and m_π from the GOR,9524,722,41A,S,
Vol1-Part2,GN2,BCT PMNS Jarlskog Invariant: Full Lepton CP,9593,724,46C,,
Vol1-Part2,GN,BCT Kaon Mass and the GOR Mass Hierarchy,9657,726,41B,,8.3469%
Vol1-Part2,GO2,BCT Leptogenesis: Baryon Asymmetry from Maximal,9724,728,46D,,
Vol1-Part2,GO,BCT Eta and Eta-Prime Masses: GMO Formula and,9800,730,41C,,
Vol1-Part2,GP2,,9892,733,46,,
Vol1-Part2,GP,BCT Nuclear Binding: Deuteron and Alpha Particle,9976,736,41D,BCT,+0.020%
Vol1-Part2,GQ2,"BCT B-Meson HQET Spectroscopy: m_B, m_Bs, m_Bc",10060,739,47A,,
Vol1-Part2,GQ,,10153,742,41,,
Vol1-Part2,GR2,BCT Hyperon Octet: Gell-Mann–Okubo and Omega,10255,745,47B,,
Vol1-Part2,GR,BCT Top Quark Mass: The Yukawa Fixed Point y_t = 1,10352,748,42A,,-0.00174%
Vol1-Part2,GS2,"BCT Meson Decay Constants: f_K, f_D, f_B",10429,750,47C,,
Vol1-Part2,GS,BCT Higgs Boson Mass: The Void-Lattice Scalar,10499,752,42B,,
Vol1-Part2,GT2,BCT Strong CP Problem: θ_QCD = 0 and the Axion,10594,755,47D,,
Vol1-Part2,GT,BCT Strong Coupling: α_s(m_Z) from Λ_QCD = 220,10682,758,42C,,
Vol1-Part2,GU2,,10758,760,47,,
Vol1-Part2,GU,BCT and the Muon Anomalous Magnetic Moment,10849,763,42D,,
Vol1-Part2,GV2,BCT Down Quark Mass: m_d = m_u + Λ·α₀·π/2,10949,766,48A,,0.9947%
Vol1-Part2,GV,,11029,768,42,,
Vol1-Part2,GW2,BCT Proton–Neutron Mass Difference: (m_d − m_u)/2,11136,771,48B,,-1.0039%
Vol1-Part2,GW,BCT Bottom Quark Mass: m_b/m_t = π·α₀,11208,773,43A,,-0.01085%
Vol1-Part2,GX2,BCT Pion Charge Radius: VMD + N=9 Correction,11288,776,48C,,0.3849%
Vol1-Part2,GX,BCT Charm Quark Mass: Inverse D-Meson,11357,778,43B,,-0.05631%
Vol1-Part2,GY2,BCT CKM Row-1 Unitarity: The Cabibbo Anomaly,11430,780,48D,,
Vol1-Part2,GY,BCT CKM Unitarity and V_ud,11502,782,43C,,0.07491%
Vol1-Part2,GZ2,,11577,784,48,,
Vol1-Part2,GZ,"BCT Electroweak Precision: ρ-Parameter, S and T",11657,787,43D,,
Vol1-Part2,HA2,BCT CKM Element V_ub: Third-Generation b→u Mixing,11730,789,49A,,-0.1864%
Vol1-Part2,HA3,BCT W Boson Mass and the CDF 2022 Anomaly,11802,791,54B,,
Vol1-Part2,HA4,BCT Kaon CP Violation: |ε_K| from B_K and CKM,11862,793,59C,,+0.7040%
Vol1-Part2,HA5,BCT Sommer Parameter r₀ and the QCD String Tension,11935,795,64D,,
Vol1-Part2,HB2,"BCT CKM Second Row: V_cd, V_cs, V_cb",11992,797,49B,,-0.1141%
Vol1-Part2,HB3,BCT Electroweak Radiative Corrections: Δr and ρ₀,12056,799,54C,,
Vol1-Part2,HB4,BCT Muon Anomalous Magnetic Moment: (g−2)_μ,12111,801,59D,,
Vol1-Part2,HB5,,12185,803,64,,
Vol1-Part2,HC2,BCT CP Violation in Kaons: ε_K and the CKM CP,12257,805,49C,,
Vol1-Part2,HC3,BCT Higgs Boson Decay Widths,12326,807,54D,,
Vol1-Part2,HC4,,12382,809,59,,
Vol1-Part2,HD2,BCT Muon Anomalous Magnetic Moment: g − 2,12535,815,49D,,
Vol1-Part2,HD3,,12610,817,54,,
Vol1-Part2,HD4,BCT Dark Matter: The Higgs-Funnel Scalar and VoidLattice Singlet,12683,819,60A,,
Vol1-Part2,HE2,,12815,823,49,,
Vol1-Part2,HE3,"BCT Individual Neutrino Masses m_ν₁, m_ν₂, m_ν₃",12897,826,55A,,
Vol1-Part2,HE4,"BCT Baryogenesis: Jarlskog Invariant, Sphalerons,",12970,828,60B,,
Vol1-Part2,HF2,BCT Neutron Decay: g_A and τ_n,13109,832,50A,,0.1073%
Vol1-Part2,HF3,BCT Leptogenesis and the Baryon Asymmetry η_B,13179,834,55B,,
Vol1-Part2,HF4,BCT Planck Mass from the α₀ Hierarchy: m_P =,13250,836,60C,,
Vol1-Part2,HG2,BCT Nuclear Magnetic Moments: μ_p and μ_n,13414,841,50B,,0.2555%
Vol1-Part2,HG3,BCT Cosmological Constant: The Darkest Mystery,13486,843,55C,,
Vol1-Part2,HG4,BCT Gravitational Waves from EW and QCD Phase,13561,845,60D,,
Vol1-Part3,HH2,BCT QCD Running Coupling α_s: From Λ_QCD to m_Z,1,850,50C,,
Vol2,HK2,"BCT CKM Third Row: V_tb, V_ts, V_td — Completing",1505,859,51A,,0.00005%
Vol2,HK3,BCT Proton Charge Radius: r_p = (15/16) × ℏc/Λ_QCD,1600,859,56B,,+0.0014%
Vol2,HK4,BCT CMB Acoustic Scale θ_s and First Peak Position,1664,859,61C,,
Vol2,HL2,BCT B Meson Mixing: ΔM_d and ΔM_s,1882,859,51B,,9.52%
Vol2,HL3,BCT Pion Electromagnetic Form Factor and Charge,1944,859,56C,,+0.1578%
Vol2,HL4,BCT Big Bang Nucleosynthesis: Y_p(He-4) and D/H,2003,859,61D,,
Vol2,HM2,"BCT CKM Unitarity Triangle: Angles α, β, γ",2201,859,51C,,1.497%
Vol2,HM3,"BCT Vector Meson Masses: ρ, ω, and φ(1020)",2263,859,56D,,
Vol2,HM4,,2334,859,61,,
Vol2,HN2,BCT Charm Meson Mixing: ΔM_D and y_CP,2579,859,51D,,
Vol2,HN3,,2645,859,56,,
Vol2,HN4,BCT Solution to the Strong CP Problem: θ_QCD = 0,2746,859,62A,,
Vol2,HO2,,2967,859,51,,
Vol2,HO3,BCT Heavy Quarkonium and the Half-Integer Λ Ladder,3076,859,57A,,
Vol2,HO4,BCT Electric Dipole Moments: d_n and d_e,3190,859,62B,,
Vol2,HP2,BCT Kaon Bag Parameter B_K: Sub-0.2% Precision,3344,859,52A,,-0.18202%
Vol2,HP3,BCT Two-Loop α_s Running: τ Decay and QCD,3422,859,57B,,
Vol2,HP4,BCT Proton Lifetime: τ(p→e⁺π⁰) from M_R = 6.695×10¹⁴,3519,859,62C,,
Vol2,HQ2,BCT ε_K: Kaon CP Violation with BCT B_K,3822,859,52A,,
Vol2,HQ3,BCT Bjorken Sum Rule: Proton Spin Structure,3879,859,57C,,
Vol2,HQ4,BCT Lepton Flavour Violation: BR(μ→eγ) and PMNS,3960,859,62D,,
Vol2,HR2,"BCT Wolfenstein Parameters ρ̄, η̄ from Void Geometry",4176,859,52B,,
Vol2,HR3,BCT Deuteron Binding Energy and Nuclear Physics,4242,859,57D,,
Vol2,HR4,,4319,859,62,,
Vol2,HS2,BCT QCD Coupling: Scheme Conversion and α_s(m_τ),4541,859,52C,,
Vol2,HS3,,4614,859,57,,
Vol2,HS4,BCT Rare Kaon Decay K⁺→π⁺νν̄ and K_L→π⁰νν̄,4705,859,63A,,
Vol2,HT2,,4946,859,52,,
Vol2,HT3,BCT sin²θ_W Running: M_Z → Q = 0,5040,859,58A,,+0.2976%
Vol2,HT4,BCT Leptonic B Decays: BR(B⁺→τ⁺ν) and BR(B⁺→μ⁺ν),5122,859,63B,,
Vol2,HU2,BCT Radiative Decay: Br(B → X_s γ),5313,859,53A,,
Vol2,HU3,"BCT Higgs Coupling Ratios: κ_W, κ_Z, κ_f, κ_γγ",5376,859,58B,,
Vol2,HU4,BCT Kaon Semileptonic Form Factor f⁺(0) from Fpi,5495,859,63C,,
Vol2,HV2,BCT Rare Decay: Br(B_s → μ⁺μ⁻),5620,859,53B,,
Vol2,HV3,"BCT Oblique EW Corrections: S, T and U Parameters",5682,859,58C,,
Vol2,HV4,BCT Semileptonic B Ratio R(D*) and OPE Gluon,5766,859,63D,,
Vol2,HW2,BCT Ultra-Rare Decay: Br(K⁺ → π⁺νν̄) and the NA62,5997,859,53C,,
Vol2,HW3,BCT W Boson Mass at Two Loops: m_W =,6062,859,58D,,-0.0664%
Vol2,HW4,,6149,859,63,,
Vol2,HX2,"BCT Electric Dipole Moments: d_n = 0, d_e ≈ 0",6384,859,53D,,
Vol2,HX3,,6451,859,58,,
Vol2,HX4,"BCT Heavy Quarkonia: J/ψ, Υ Masses and Excitation",6577,859,64A,,
Vol2,HY2,,6790,859,53,,
Vol2,HY3,BCT Rare Decay B_s → μ+μ−: Penguin and Box,6879,859,59A,,
Vol2,HY4,BCT Tau Hadronic Width R_τ from αs(mZ) Running,6966,859,64B,,
Vol2,HZ2,BCT Higgs Boson Mass: The r_oct(1+r_oct) = ¼,7188,859,54A,,-0.227%
Vol2,HZ3,BCT Radiative Decay B → X_s γ: Wilson Coefficient C₇,7281,859,59B,,
Vol2,HZ4,BCT Pion Electromagnetic Form Factor F_π(Q²) at,7333,859,64C,,
Vol2,KJ6,BCT ARS Leptogenesis Framework (Phase 82A),13999,859,82A,,
Vol2,KK6,Proton Radius and ρ→e⁺e⁻ Width (Phase 82B/C),14057,859,82B,,3.591%
Vol2,KL6,The BCT Koide Lepton Mass Theorem (Phase 82D),14094,859,82D,,-0.1304%
Vol2,KM6,Phase 82 Review — Lepton Sector Complete,14211,859,82,,
Vol2,KN6,Phase 83A — BCT ARS Leptogenesis Framework,14297,859,83A,,
Vol2,KO6,Phase 83B — BCT Colour Correction Theorem for m_ρ,14363,859,83B,,
Vol2,KP6,Phase 83C/D — Γ(ρ→ee) and HVP Status,14441,859,83C,,-27.19%
Vol2,KQ6,Phase 83E — BCT Baryon Regge Theorem for m_p,14489,859,83E,,
Vol2,KR6,Phase 83 Review — Hadron Sector Advances,14596,859,83,,
Vol2,KS6,Phase 84A — BCT Neutron Mass Theorem,14711,859,84A,,
Vol2,KT6,Phase 84B — Δ(1232) and the Baryon Regge Trajectory,14796,859,84B,,
Vol2,KU6,Phase 84C — BCT Pion Electromagnetic Charge Radius,14830,859,84C,,
Vol2,KV6,"Phase 84D/E/F — Strange Sector, Meson Regge, arXiv Roadmap",14913,859,84D,,
Vol2,KW6,Phase 84 Review — Nucleon Sector Complete,14988,859,84,,
Vol2,KX6,Phase 85A — ARS Leptogenesis Viability Assessment,15087,859,85A,,
Vol2,KY6,Phase 85B — g_ρ Two-Loop Analysis and Γ(ρ→ee) Status,15142,859,85B,,
Vol2,KZ6,Phase 85C — BCT Proton Charge Radius Theorem,15184,859,85C,,
Vol2,LA6,Phase 85D — arXiv Letter: Structure and Top-10 Predictions,15279,859,85D,80,
Vol2,LA7,Phase 91 Review — Predictions #86 (Gamma_ee) and #87 (N*(1520)) —,15420,859,91,,
Vol2,LB6,Phase 85 Review — 80 Sub-1% Predictions,15538,859,85,,
Vol2,LB7,Phase 92A — phi(1020): BCT Vector Nonet GMO Rule,15666,859,92A,,
Vol2,LC7,Phase 92B — Delta*(1600): BCT Radial Excitation Rule — Prediction #88,15735,859,92B,,
Vol2,LD6,Phase 87A — Γ(ρ→ee): Exhaustive Search and Definitive Status,15855,859,87A,,
Vol2,LD7,Phase 92C/D — eta(548) and Generation Hierarchy Conjecture,15940,859,92C,,2.2237%
Vol2,LE6,Phase 87B — Strange Quark Sector: USIR and φ(1020),16017,859,87B,,2.7447%
Vol2,LE7,Phase 92 Review — Prediction #88 (Delta*(1600)) — Total: 88,16074,859,92,,0.2214%
Vol2,LF6,Phase 87C — Δ(1232) Baryon: BCT Spin-3/2 Regge Theorem,16170,859,87C,,
Vol2,LF7,Phase 93A — eta(548): BCT U(1)_A Anomaly Theorem — Prediction #89,16232,859,93A,,
Vol2,LG6,Phase 87D — Neutron Mean-Square Charge Radius,16303,859,87D,,
Vol2,LG7,Phase 93B — K*(892): BCT Geometric Mean and Nc^2 Theorems —,16374,859,93B,,-0.27933365%
Vol2,LH6,Phase 87 Review — Hadron Spectroscopy and Level-1 Progress,16448,859,87,,2.74%
Vol2,LI6,Phase 88A — Γ(ρ→ee) Refined Analysis and Definitive Level-1 Status,16763,859,88A,,
Vol2,LI7,Phase 93D — Generation Hierarchy Conjecture: The Kaon Pattern Extended,16849,859,93D,,
Vol2,LJ6,Phase 88B — Strange Quark Sector: Second-Harmonic Void and Kaon,16921,859,88B,,-13.2933%
Vol2,LJ7,"Phase 93 Review — Predictions #89, #90 and the Why-BCC Theorem —",16991,859,93,,+0.0001%
Vol2,LK6,Phase 88C — Δ(1232) Baryon: BCT Spin-Orbit Theorem — Prediction #81,17142,859,88C,,
Vol2,LK7,Phase 94A — omega(782): BCT Void Asymmetry Theorem — Prediction,17244,859,94A,,
Vol2,LL6,Phase 88D — Neutron Mean-Square Charge Radius: Pauli + Dirac,17314,859,88D,,-5.0133%
Vol2,LL7,Phase 94C — eta-prime(958): BCT Singlet Anomaly Theorem — Prediction,17384,859,94C,,-0.074%
Vol2,LM6,Phase 88 Review — Δ(1232) Prediction #81 and Programme Status,17495,859,88,,
Vol2,LM7,Phase 94B — phi(1020): Vector Nonet Status and Roadmap,17609,859,94B,,-2.7192%
Vol2,LN6,Phase 89A — Γ(ρ→ee): Partial-Width Ratio Analysis and Phase 90 Strategy,17680,859,89A,,-24.9356%
Vol2,LN7,"Phase 94 Review — Predictions #91, #93 — Total: 92",17740,859,94,,−0.074%
Vol2,LO6,Phase 89B — Kaon Mass: BCT Coupling Hierarchy Theorem — Prediction,17860,859,89B,,
Vol2,LP6,Phase 89C — Roper Resonance N*(1440): BCT Baryon Ladder —,17965,859,89C,,
Vol2,LQ6,Phase 89D/E — Neutron Charge Radius and phi(1020) Updated Status,18050,859,89D,,-3.7829%
Vol2,LR6,Phase 89 Review — Two New Predictions: m_K (#82) and N*(1440) (#83),18108,859,89,,
Vol2,LS6,Phase 90A — Gamma(rho→ee): Dispersive Z_V Computation,18231,859,90A,,-1.5341%
Vol2,LT6,Phase 90B/E — phi(1020) and K*(892): BCT Strange Vector Mesons,18312,859,90B,,-2.2467%
Vol2,LU6,Phase 90C — Neutron Mean-Square Charge Radius: alpha_0 Correction —,18385,859,90C,,
Vol2,LV6,Phase 90D — N*(1535) Negative-Parity Baryon: BCT Baryon Ladder,18479,859,90D,,
Vol2,LW6,Phase 90 Review — Predictions #84 (r_n^2) and #85 (N*(1535)) — Total:,18577,859,90,,
Vol2,LX6,Phase 91A — Gamma(rho→ee): BCT Asymmetry Theorem — Prediction,18682,859,91A,,
Vol2,LY6,Phase 91B/C — phi(1020) and Delta*(1600): Level-1 Status,18788,859,91B,,-2.2467%
Vol2,LZ6,Phase 91D — N*(1520): BCT J-Splitting Rule — Prediction #87,18846,859,91D,,
Vol2,V,The α–Generation Connection,20005,859,2,,
Vol2,W,BCT as the D4 Lattice — Emergence of Time,20012,859,2,,
Vol2,X,SU(3) from BCT — The 8-Gluon Sector,20021,859,3,,
Vol2,Y,SU(2)_L from BCT — Parity Violation,20030,859,3,,
Vol2,Z,Particle-Hole Symmetry Breaking Mechanism,20041,859,4,,
